,#,Вилоят,Туман(шахар),Мутахассислик,Корхона номи,СТИР(ИНН),Маош,Ставка,Бўш иш ўринлари сони,Вакансия эълон қилинган сана
1540,1541,Андижон вилояти,Избоскан тумани,ўт ёқувчи / Истопник,37-МАКТАБГАЧА ТАЪЛИМ МУАССАСАС,207013574,526600,1.0,1,2019-10-30
1541,1542,Тошкент шаҳри,Мирзо Улуғбек тумани,Электрогазпайвандчи / Электрогазосварщик на автоматических и полуавтоматических машинах,O ZYO LMASHSERVIS,203518446,800000,1.0,2,2019-10-30
1542,1543,Наманган вилояти,Косонсой тумани,Доривор ўсимликлар бўйича агроном / Агроном по лекарственным растениям,КОСОНСОЙ ДАВЛАТ УРМОН Х,200074583,798959,1.0,1,2019-10-30
1543,1544,Тошкент шаҳри,Мирзо Улуғбек тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,71-SON.UMUMIY O RTA TA LIM MAK,203323753,1467802,1.0,5,2019-10-30
1544,1545,Тошкент вилояти,Зангиота тумани,ўқитувчи / Учитель,2-СОНЛИ УРТА ТАЪЛИМ МАКТАБИ,204886639,1614582,1.0,1,2019-10-30
1545,1546,Хоразм вилояти,Гурлан тумани,Психолог / Главный психолог,34-УМУМ.УРТА ТАЪЛИМ МАКТАБИ .,206908195,1598436,1.0,1,2019-10-30
1546,1547,Тошкент вилояти,Янгийўл шаҳар,Кийим тикувчи / Портной,FASHION JEANS GARMENT MCHJ,304469551,800000,1.0,50,2019-10-30
1547,1548,Хоразм вилояти,Хива тумани,қоровул / Сторож,ТУМ.Х.Х.ОБОДОНЛАШТИРИШ БОШКАРМ,206943881,634880,1.0,1,2019-10-30
1548,1549,Сурхондарё вилояти,Сариосиё тумани,ўқитувчи / Учитель,17-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206861004,1407000,1.0,2,2019-10-30
1549,1550,Тошкент шаҳри,Мирзо Улуғбек тумани,Фрезаловчи / Зубофрезеровщик деталей часов,O ZYO LMASHSERVIS,203518446,600000,1.0,1,2019-10-30
1550,1551,Наманган вилояти,Косонсой тумани,ўрмончи / Лесник,КОСОНСОЙ ДАВЛАТ УРМОН Х,200074583,798959,1.0,2,2019-10-30
1551,1552,Тошкент шаҳри,Мирзо Улуғбек тумани,Иқтисодчи / Экономист,TRANSYO`LQURILISH MAXSUS PUDRA,303837276,1278648,1.0,1,2019-10-30
1552,1553,Тошкент вилояти,Зангиота тумани,ўқитувчи / Учитель,2-СОНЛИ УРТА ТАЪЛИМ МАКТАБИ,204886639,403645,0.5,1,2019-10-30
1553,1554,Хоразм вилояти,Гурлан тумани,Кутубхоначи / Библиотекарь,34-УМУМ.УРТА ТАЪЛИМ МАКТАБИ .,206908195,422579,0.5,1,2019-10-30
1554,1555,Фарғона вилояти,Учкўприк тумани,Ёрдамчи ишчи / Подсобный рабочий,"""BETON PLITA"" МАСЪУЛИЯТИ ЧЕКЛАНГАН ЖАМИЯТ",302983754,600000,1.0,10,2019-10-30
1555,1556,Сурхондарё вилояти,Сариосиё тумани,ўт ёқувчи / Истопник,17-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206861004,632000,1.0,2,2019-10-30
1556,1557,Фарғона вилояти,Бешариқ тумани,ўт ёқувчи / Истопник,BESHARIQ TUMANI MA-CHA T 56-S,305523254,320000,0.5,1,2019-10-30
1557,1558,Тошкент шаҳри,Мирзо Улуғбек тумани,Чилангарлик ва дастгох ишлари назоратчиси / Контролер станочных и слесарных работ,O ZYO LMASHSERVIS,203518446,600000,1.0,2,2019-10-30
1558,1559,Наманган вилояти,Косонсой тумани,қўлда нихоясига етказувчи ишчи / Рабочий ручной доработки,КОСОНСОЙ ДАВЛАТ УРМОН Х,200074583,590000,1.0,10,2019-10-30
1559,1560,Тошкент шаҳри,Мирзо Улуғбек тумани,Бош бухгалтер / Главный бухгалтер,TRANSYO`LQURILISH MAXSUS PUDRA,303837276,1450065,1.0,1,2019-10-30
1560,1561,Тошкент шаҳри,Мирзо Улуғбек тумани,Овоз ёзиш оператори / Оператор звукозаписи,DIYDOR TEATR-STUDIYASI,200541137,1261103,1.0,1,2019-10-30
1561,1562,Тошкент вилояти,Зангиота тумани,ўқитувчи / Учитель,2-СОНЛИ УРТА ТАЪЛИМ МАКТАБИ,204886639,224247,0.25,1,2019-10-30
1562,1563,Хоразм вилояти,Янгиариқ тумани,Электрик / Электрик,ЯНГ.ТУМ.15-СОН МУСИКА МАКТАБИ,205653570,334265,0.5,1,2019-10-30
1563,1564,Қашқадарё вилояти,Яккабоғ тумани,ўт ёқувчи / Истопник,38-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,203558254,634000,1.0,2,2019-10-30
1564,1565,Тошкент шаҳри,Мирзо Улуғбек тумани,Бухгалтер / Бухгалтер,TRANSYO`LQURILISH MAXSUS PUDRA,303837276,1278648,1.0,2,2019-10-30
1565,1566,Тошкент шаҳри,Мирзо Улуғбек тумани,Артист / Артист,DIYDOR TEATR-STUDIYASI,200541137,1387213,1.0,1,2019-10-30
1566,1567,Жиззах вилояти,Зафаробод тумани,Ёрдамчи ишчи / Подсобный рабочий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""BILDERBERG""",305504697,950000,1.0,4,2019-10-30
1567,1568,Фарғона вилояти,Фарғона тумани,Жисмоний тарбия бўйича йўриқчи / Инструктор по физкультуре,5-MAKTABGACHA TA`LIM MUSSASASI,305496621,315000,0.25,1,2019-10-30
1568,1569,Тошкент шаҳри,Мирзо Улуғбек тумани,Юрист / Юрист,TRANSYO`LQURILISH MAXSUS PUDRA,303837276,1195479,1.0,1,2019-10-30
1569,1570,Самарқанд вилояти,Пайариқ тумани,Мусиқа  ва санъат мактаби ўқитувчиси / Учитель школы музыки и искусств,97 УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206891932,600000,0.75,1,2019-10-30
1570,1571,Наманган вилояти,Чортоқ тумани,ўқитувчи / Учитель,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,701262,0.5,1,2019-10-30
1571,1572,Хоразм вилояти,Урганч шаҳар,Жисмоний тарбия бўйича йўриқчи / Инструктор по физкультуре,ХТБ 3-СОН МАКТАБГАЧА ТАЪЛИМ МУ,207026454,367726,0.5,1,2019-10-30
1572,1573,Тошкент шаҳри,Мирзо Улуғбек тумани,Секретарь / Секретарь,TRANSYO`LQURILISH MAXSUS PUDRA,303837276,735191,1.0,1,2019-10-30
1573,1574,Наманган вилояти,Чортоқ тумани,ўқитувчи / Учитель,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,708156,0.5,1,2019-10-30
1574,1575,Қорақалпоғистон Республикаси,Амударё тумани,қозончи / Котельщик,42-СОН УМУМИЙ УРТА МАКТАБ,206872568,634880,1.0,3,2019-10-30
1575,1576,Тошкент шаҳри,Чилонзор тумани,Бош терапевт / Главный терапевт,JONIER ЧАСТНАЯ ФИРМА,202805027,3000000,1.0,1,2019-10-30
1576,1577,Сирдарё вилояти,Ширин шаҳар,ўқитувчи / Учитель,2-МАКТАБ,203426506,1776040,1.0,1,2019-10-30
1577,1578,Наманган вилояти,Чортоқ тумани,ўқитувчи / Преподаватель,15-УМУМИЙ УРТА ТАЬЛИМ МАКТАБИ,206866241,166000,0.25,1,2019-10-30
1578,1579,Андижон вилояти,Избоскан тумани,ўқитувчи / Учитель,27-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206893881,1245136,1.0,3,2019-10-30
1579,1580,Наманган вилояти,Чортоқ тумани,ўқитувчи / Учитель,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,1244593,0.75,1,2019-10-30
1580,1581,Сирдарё вилояти,Ширин шаҳар,ўқитувчи / Учитель,2-МАКТАБ,203426506,1776040,1.0,1,2019-10-30
1581,1582,Наманган вилояти,Чортоқ тумани,ўқитувчи / Преподаватель,15-УМУМИЙ УРТА ТАЬЛИМ МАКТАБИ,206866241,208000,0.25,1,2019-10-30
1582,1583,Андижон вилояти,Избоскан тумани,ўт ёқувчи / Истопник,27-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206893881,526600,1.0,3,2019-10-30
1583,1584,Тошкент шаҳри,Мирзо Улуғбек тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",M.UL.T.MARKAZ.KO PTARMOQ.POLIK,200540938,1233490,1.0,4,2019-10-30
1584,1585,Наманган вилояти,Чортоқ тумани,ўқитувчи / Учитель,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,333250,0.25,1,2019-10-30
1585,1586,Сирдарё вилояти,Ширин шаҳар,қозонхона ишчиси / Рабочий котельной,2-МАКТАБ,203426506,634880,1.0,3,2019-10-30
1586,1587,Наманган вилояти,Чортоқ тумани,ўқитувчи / Преподаватель,15-УМУМИЙ УРТА ТАЬЛИМ МАКТАБИ,206866241,420000,0.25,1,2019-10-30
1587,1588,Андижон вилояти,Асака тумани,ўқитувчи / Учитель,28-СОН УМУМ.УРТА ТАЪЛИМ МАК.,206872149,1500000,1.0,1,2019-10-30
1588,1589,Андижон вилояти,Асака тумани,ўт ёқувчи / Истопник,3-МТМ,207010325,670000,1.0,2,2019-10-30
1589,1590,Тошкент шаҳри,Мирзо Улуғбек тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",M.UL.T.MARKAZ.KO PTARMOQ.POLIK,200540938,1560000,1.0,1,2019-10-30
1590,1591,Наманган вилояти,Чортоқ тумани,ўқитувчи / Учитель,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,499876,0.25,1,2019-10-30
1591,1592,Наманган вилояти,Чортоқ тумани,ўқитувчи / Преподаватель,15-УМУМИЙ УРТА ТАЬЛИМ МАКТАБИ,206866241,332000,0.25,1,2019-10-30
1592,1593,Андижон вилояти,Асака тумани,ўт ёқувчи / Истопник,28-СОН УМУМ.УРТА ТАЪЛИМ МАК.,206872149,670000,1.0,3,2019-10-30
1593,1594,Андижон вилояти,Асака тумани,ўт ёқувчи / Истопник,18-МТМ,207074135,670000,1.0,2,2019-10-30
1594,1595,Тошкент шаҳри,Мирзо Улуғбек тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",M.UL.T.MARKAZ.KO PTARMOQ.POLIK,200540938,1560000,1.0,1,2019-10-30
1595,1596,Наманган вилояти,Чортоқ тумани,ўқитувчи / Учитель,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,416563,0.25,1,2019-10-30
1596,1597,Фарғона вилояти,Учкўприк тумани,Ёрдамчи ишчи / Подсобный рабочий,DOLINA GRAND SHIFER MCHJ,207172909,800000,1.0,10,2019-10-30
1597,1598,Наманган вилояти,Чортоқ тумани,ўт ёқувчи / Истопник,15-УМУМИЙ УРТА ТАЬЛИМ МАКТАБИ,206866241,634880,1.0,3,2019-10-30
1598,1599,Самарқанд вилояти,Пайариқ тумани,Болалар мактабгача таълим муассасаси ўқитувчиси / Учитель детских дошкольных учреждений,41-СОНЛИ ГУЛЧЕХРА МАКТАБГАЧА  ТАЪЛИМ МУАССАСАСИ,207049007,258333,0.25,1,2019-10-30
1599,1600,Андижон вилояти,Асака тумани,ўт ёқувчи / Истопник,ДОУASAKA T MTB TASARRU 46,305485951,670000,1.0,2,2019-10-30
1600,1601,Тошкент шаҳри,Мирзо Улуғбек тумани,Бухгалтер / Бухгалтер,M.UL.T.MARKAZ.KO PTARMOQ.POLIK,200540938,1278000,1.0,1,2019-10-30
1601,1602,Наманган вилояти,Чортоқ тумани,ўқитувчи / Учитель,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,291594,0.25,1,2019-10-30
1602,1603,Қорақалпоғистон Республикаси,Қораўзак тумани,Бош инспектор / Главный инспектор,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""YONG`INDAN Q`ORIQLASH XIZMATI""",305077604,1000000,1.0,1,2019-10-30
1603,1604,Қорақалпоғистон Республикаси,Нукус тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,N29 САНЛЫ АМУДАРЬЯ АТЫНДАГЫ   ОРТА МЕКТЕП.,206871126,808000,1.0,5,2019-10-30
1604,1605,Тошкент шаҳри,Мирзо Улуғбек тумани,Ходимлар ва касбларни ривожлантириш бўлим бошлиғи / Начальник отдела кадров и повышения квалификации,M.UL.T.MARKAZ.KO PTARMOQ.POLIK,200540938,1100000,1.0,1,2019-10-30
1605,1606,Наманган вилояти,Чортоқ тумани,ўқитувчи / Учитель,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,249938,0.25,1,2019-10-30
1606,1607,Қорақалпоғистон Республикаси,Қораўзак тумани,Минорачи-пайвандчи / Вышкомонтажник-сварщик,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""YONG`INDAN Q`ORIQLASH XIZMATI""",305077604,1000000,1.0,1,2019-10-30
1607,1608,Тошкент шаҳри,Мирзо Улуғбек тумани,Кадрлар бўйича инспектор / Инспектор по кадрам,M.UL.T.MARKAZ.KO PTARMOQ.POLIK,200540938,638194,0.75,1,2019-10-30
1608,1609,Наманган вилояти,Чортоқ тумани,Лаборант / Лаборант,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,351002,0.5,1,2019-10-30
1609,1610,Сирдарё вилояти,Боёвут тумани,Махсус ишлар бўйича муҳандис / Инженер по спецработе,СИРДАРЁ ВИЛОЯТИ ХУДУДИЙ ГАЗ ТА,207260861,1177260,1.0,1,2019-10-30
1610,1611,Андижон вилояти,Асака тумани,ўқитувчи / Учитель,32-СОН УМУМ.УРТА ТАЪЛИМ МАК.,206872156,810416,0.5,1,2019-10-30
1611,1612,Наманган вилояти,Чортоқ тумани,Кутубхоначи / Библиотекарь,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,415630,0.5,1,2019-10-30
1612,1613,Қорақалпоғистон Республикаси,Амударё тумани,Ёрдамчи ишчи / Разнорабочий,КИПЧАК УРМОН ХУЖАЛИГИ,200374029,900000,1.0,10,2019-10-30
1613,1614,Хоразм вилояти,Хива шаҳар,Электрик / Электрик,ХИВА ТУМАН ДАВЛАТ СОЛИК ИНСПЕК,202036184,334200,0.5,1,2019-10-30
1614,1615,Андижон вилояти,Асака тумани,ўқитувчи / Учитель,32-СОН УМУМ.УРТА ТАЪЛИМ МАК.,206872156,810416,0.5,1,2019-10-30
1615,1616,Фарғона вилояти,Қўқон шаҳар,ўқитувчи / Преподаватель,КУКОН НЕФТЬ ТЕХНИКУМИ,200131164,1579287,1.0,1,2019-10-30
1616,1617,Наманган вилояти,Чортоқ тумани,Халқ таълими муассасаси психологи / Психолог учреждений народного образования,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,799218,0.5,1,2019-10-30
1617,1618,Андижон вилояти,Улуғнор тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",УЛУГНОР ТУМАН ТИББИЁТ БИРЛАШМАСИ,200273992,1589632,1.0,28,2019-10-30
1618,1619,Тошкент вилояти,Пскент тумани,Ёрдамчи ишчи / Подсобный рабочий,"""PISKENT KASANACHI"" SHO`BA KORXONASI",303298434,600000,1.0,2,2019-10-30
1619,1620,Хоразм вилояти,Урганч шаҳар,Электрогазпайвандчи / Электрогазосварщик на автоматических и полуавтоматических машинах,ТУЯМУЙИН-УРГЕНЧ МИН.СУВ КУВ.Б,201733481,1090326,1.0,2,2019-10-30
1620,1621,Андижон вилояти,Асака тумани,ўт ёқувчи / Истопник,32-СОН УМУМ.УРТА ТАЪЛИМ МАК.,206872156,670000,1.0,3,2019-10-30
1621,1622,Фарғона вилояти,Қўқон шаҳар,ўқитувчи / Преподаватель,КУКОН НЕФТЬ ТЕХНИКУМИ,200131164,1579287,1.0,1,2019-10-30
1622,1623,Наманган вилояти,Чортоқ тумани,ўқитувчи / Учитель,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,1268554,1.0,1,2019-10-30
1623,1624,Тошкент шаҳри,Шайхонтохур тумани,Жисмоний тарбия бўйича тарбиячи / Воспитатель по физической культуре,SHOFAYZI DURDONALARI,300835566,400000,0.5,1,2019-10-30
1624,1625,Тошкент вилояти,Ўртачирчиқ тумани,Озиқ-овқат товарлари сотувчиси / Продавец продовольственных товаров,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""JAVOHIR-SHAXNOZA""",301041312,900000,1.0,1,2019-10-30
1625,1626,Сурхондарё вилояти,Сариосиё тумани,Автомобиль хайдовчиси-экспедитор / Водитель-экспедитор,МАДАНИЯТ ВА СПОРТ И/Б,200494164,850000,1.0,1,2019-10-30
1626,1627,Хоразм вилояти,Урганч шаҳар,Авария-тиклаш ишлари чилангари / Слесарь аварийно-восстановительных работ,ТУЯМУЙИН-УРГЕНЧ МИН.СУВ КУВ.Б,201733481,1090326,1.0,1,2019-10-30
1627,1628,Наманган вилояти,Чортоқ тумани,Хизмат хоналари фарроши / Уборщик служебных помещений,29-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206865149,317440,0.5,1,2019-10-30
1628,1629,Фарғона вилояти,Фарғона тумани,ўқитувчи / Учитель,49-MAKTABGACHA TA`LIM MUSSASAS,305514828,200000,0.25,1,2019-10-30
1629,1630,Сурхондарё вилояти,Сариосиё тумани,Бош мутахассис / Главный специалист,МАДАНИЯТ ВА СПОРТ И/Б,200494164,950000,1.0,1,2019-10-30
1630,1631,Хоразм вилояти,Урганч шаҳар,қоровул / Вахтер (сторож),ТУЯМУЙИН-УРГЕНЧ МИН.СУВ КУВ.Б,201733481,649390,1.0,1,2019-10-30
1631,1632,Наманган вилояти,Чортоқ тумани,Худуд фарроши / Уборщик территорий,11-УМУМИЙ УРТА ТАЬЛИМ МАКТАБИ,206866226,634880,1.0,1,2019-10-30
1632,1633,Хоразм вилояти,Гурлан тумани,ўқитувчи / Учитель,"""16-СОН А.НАВОИЙ"" НОМЛИ УМУМИЙУРТА ТАЪЛИМ МАКТАБИ.",203281554,1775400,1.0,2,2019-10-30
1633,1634,Андижон вилояти,Андижон шаҳар,Умумий амалиёт врачи / Врач общей практики,АНД.ШАХАР 7-СОН ПОЛИКЛИНИКАСИ,206947987,1500000,1.0,4,2019-10-30
1634,1635,Фарғона вилояти,Фарғона тумани,ўқитувчи / Учитель,49-MAKTABGACHA TA`LIM MUSSASAS,305514828,200000,0.25,1,2019-10-30
1635,1636,Сурхондарё вилояти,Сариосиё тумани,Бош режиссёр / Главный режиссер,МАДАНИЯТ ВА СПОРТ И/Б,200494164,950000,1.0,1,2019-10-30
1636,1637,Андижон вилояти,Избоскан тумани,ўқитувчи / Учитель,22-МАКТАБГАЧА ТАЪЛИМ МУАССАСА,207028325,806000,1.0,3,2019-10-30
1637,1638,Наманган вилояти,Тўрақўрғон тумани,Юрисконсульт / Главный юрисконсульт,TO`RAQO`RG`ON TUMAN MAKTABGA,305151426,470000,0.5,1,2019-10-30
1638,1639,Фарғона вилояти,Тошлоқ тумани,ўқитувчи / Преподаватель,1-ИДУМИ,202081756,1000000,0.5,1,2019-10-30
1639,1640,Самарқанд вилояти,Пайариқ тумани,ўқитувчи / Учитель,48 УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206891838,815000,0.5,2,2019-10-30
1640,1641,Сурхондарё вилояти,Сариосиё тумани,Мусиқа (рақс) жамоаси директори / Директор музыкального (танцевального) коллектива,МАДАНИЯТ ВА СПОРТ И/Б,200494164,1013042,1.0,2,2019-10-30
1641,1642,Андижон вилояти,Избоскан тумани,ўт ёқувчи / Истопник,22-МАКТАБГАЧА ТАЪЛИМ МУАССАСА,207028325,526600,1.0,2,2019-10-30
1642,1643,Фарғона вилояти,Тошлоқ тумани,Тарбиячи / Воспитатель,1-ИДУМИ,202081756,500000,0.5,1,2019-10-30
1643,1644,Қорақалпоғистон Республикаси,Шўманай тумани,ўқитувчи / Учитель,СР ШК  24,206872647,536000,0.25,1,2019-10-30
1644,1645,Хоразм вилояти,Янгибозор тумани,ўқитувчи / Учитель,6-СОН МАКТАБ,203454654,1189736,0.5,1,2019-10-30
1645,1646,Сурхондарё вилояти,Сариосиё тумани,Балетмейстер / Балетмейстер,МАДАНИЯТ ВА СПОРТ И/Б,200494164,1013042,1.0,1,2019-10-30
1646,1647,Фарғона вилояти,Бешариқ тумани,Тарбиячи ёрдамчиси / Помощник воспитателя,ЯТТ Иброхимова Дилфузахон Умоновна ,511083946,502000,1.0,2,2019-10-30
1647,1648,Андижон вилояти,Асака тумани,ўқитувчи / Учитель,33-СОН.УМУМ.УРТА ТАЪЛИМ МАК.,206890958,670000,1.0,3,2019-10-30
1648,1649,Қорақалпоғистон Республикаси,Шўманай тумани,ўқитувчи / Учитель,30 УЛЫУМА ОРТА БИЛИМ БЕРИУ   МЕКТЕБИ,206883578,463744,0.25,1,2019-10-30
1649,1650,Қорақалпоғистон Республикаси,Шўманай тумани,ўт ёқувчи / Истопник,СР ШК  24,206872647,634880,1.0,2,2019-10-30
1650,1651,Хоразм вилояти,Янгибозор тумани,ўқитувчи / Учитель,6-СОН МАКТАБ,203454654,355258,0.25,1,2019-10-30
1651,1652,Андижон вилояти,Асака тумани,ўқитувчи / Учитель,29-УМУМИЙ УРТА ТАЪЛ.МАКТАБИ,206879945,1140000,1.0,1,2019-10-30
1652,1653,Андижон вилояти,Асака тумани,ўт ёқувчи / Истопник,36-СОН.УМУМ.УРТА ТАЪЛИМ МАК.,206890934,670000,1.0,3,2019-10-30
1653,1654,Қорақалпоғистон Республикаси,Шўманай тумани,ўқитувчи / Учитель,30 УЛЫУМА ОРТА БИЛИМ БЕРИУ   МЕКТЕБИ,206883578,641348,0.5,1,2019-10-30
1654,1655,Тошкент вилояти,Зангиота тумани,ўқитувчи / Учитель,31-СОНЛИ МБТМ,207004925,1614582,1.0,1,2019-10-30
1655,1656,Самарқанд вилояти,Пахтачи тумани,Математик / Математик,1-СОНЛИ УМУМТАЪЛИМ МАКТАБИ,206910274,800000,0.25,1,2019-10-30
1656,1657,Фарғона вилояти,Бешариқ тумани,ўт ёқувчи / Истопник,БЕШАРИК ТУМАНИ 24-УРТА МАКТАБ,203293626,620000,1.0,1,2019-10-30
1657,1658,Фарғона вилояти,Бешариқ тумани,ўт ёқувчи / Истопник,БЕШ.ТУМ.ХТМФМТТЭБТ45-МТМ,302708413,502000,1.0,1,2019-10-30
1658,1659,Андижон вилояти,Асака тумани,ўт ёқувчи / Истопник,29-УМУМИЙ УРТА ТАЪЛ.МАКТАБИ,206879945,650000,1.0,3,2019-10-30
1659,1660,Тошкент вилояти,Зангиота тумани,Тарбиячи / Воспитатель,31-СОНЛИ МБТМ,207004925,1038737,1.0,2,2019-10-30
1660,1661,Сирдарё вилояти,Ховос тумани,ўқитувчи / Учитель,А.КОДИРИЙ НОМЛИ 10-УРТА МАКТАБ,203367682,2000000,1.0,1,2019-10-30
1661,1662,Жиззах вилояти,Зарбдор тумани,Кадрлар ва маиший масалалар бўйича  директор / Директор по кадрам и быту,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ZARBDOR TEXTILE""",304476797,2000000,1.0,1,2019-10-30
1662,1663,Тошкент шаҳри,Мирзо Улуғбек тумани,Бошқарма бошлиғи (иқтисодиёт) / Начальник управления (экономического),ORIENT FINANS XATB,207086151,3250000,1.0,1,2019-10-30
1663,1664,Сирдарё вилояти,Ховос тумани,ўқитувчи / Учитель,НАВРУЗ НОМЛИ 5-СОНЛИ МТМ,207030070,550000,1.0,1,2019-10-30
1664,1665,Сирдарё вилояти,Ховос тумани,ўқитувчи / Учитель,НАВРУЗ НОМЛИ 5-СОНЛИ МТМ,207030070,800000,1.0,1,2019-10-30
1665,1666,Тошкент вилояти,Зангиота тумани,Тарбиячи ёрдамчиси / Помощник воспитателя,31-СОНЛИ МБТМ,207004925,789979,1.0,1,2019-10-30
1666,1667,Жиззах вилояти,Зарбдор тумани,Кийим тикувчи / Портной,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ZARBDOR TEXTILE""",304476797,800000,1.0,50,2019-10-30
1667,1668,Тошкент шаҳри,Мирзо Улуғбек тумани,Бошқарма бошлиғи ўринбосари / Заместитель начальника управления,ORIENT FINANS XATB,207086151,3100000,1.0,1,2019-10-30
1668,1669,Сирдарё вилояти,Ховос тумани,ўқитувчи / Учитель,НАВРУЗ НОМЛИ 5-СОНЛИ МТМ,207030070,550000,1.0,1,2019-10-30
1669,1670,Сирдарё вилояти,Ховос тумани,ўқитувчи / Учитель,НАВРУЗ НОМЛИ 5-СОНЛИ МТМ,207030070,800000,1.0,1,2019-10-30
1670,1671,Самарқанд вилояти,Самарқанд тумани,ўқитувчи / Преподаватель,35-СОН МТМ,207285252,403645,0.25,1,2019-10-30
1671,1672,Наманган вилояти,Чуст тумани,Тарбиячи ёрдамчиси / Помощник воспитателя,26-МАКТАБГАЧА ТАЪЛИМ МУАССА   САСИ,207007819,473988,0.5,1,2019-10-30
1672,1673,Тошкент вилояти,Зангиота тумани,Мусиқий ходим / Музыкальный работник,31-СОНЛИ МБТМ,207004925,956089,1.0,1,2019-10-30
1673,1674,Жиззах вилояти,Зарбдор тумани,Дазмолловчи / Гладильщик,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ZARBDOR TEXTILE""",304476797,600000,1.0,50,2019-10-30
1674,1675,Сирдарё вилояти,Ховос тумани,Электр устаси / Крановой электрик,НАВРУЗ НОМЛИ 5-СОНЛИ МТМ,207030070,350000,0.5,1,2019-10-30
1675,1676,Сирдарё вилояти,Ховос тумани,Электрик-қувватчи / Электрик-силовик,НАВРУЗ НОМЛИ 5-СОНЛИ МТМ,207030070,300000,0.5,1,2019-10-30
1676,1677,Самарқанд вилояти,Самарқанд тумани,Жисмоний тарбия бўйича йўриқчи / Инструктор по физкультуре,35-СОН МТМ,207285252,238953,0.25,1,2019-10-30
1677,1678,Тошкент вилояти,Зангиота тумани,Кир ювувчи / Прачка,31-СОНЛИ МБТМ,207004925,351002,0.5,1,2019-10-30
1678,1679,Жиззах вилояти,Зарбдор тумани,Сифат  текширувчиси / Контролер качества,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ZARBDOR TEXTILE""",304476797,570000,1.0,50,2019-10-30
1679,1680,Хоразм вилояти,Хива шаҳар,ўт ёқувчи / Истопник,ХИВА КАСБ-ХУНАР КОЛЛЕЖИ,201987245,740281,1.0,3,2019-10-30
1680,1681,Самарқанд вилояти,Пайариқ тумани,ўқитувчи / Учитель,40 УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206887595,1500000,1.0,2,2019-10-30
1681,1682,Хоразм вилояти,Урганч шаҳар,қозончи / Котельщик,30-СОНЛИ ИХТ УМУМТАЪЛИМ МАКТАБ,207228155,550000,1.0,3,2019-10-30
1682,1683,Тошкент шаҳри,Миробод тумани,Бош муҳандис (бошқа сохаларда) / Главный инженер (в прочих отраслях),AVTOMOBIL YO L.IL-TADQ.INST.DK,205340218,1537139,1.0,1,2019-10-30
